name,auc_mean,auc_std,pr_auc_mean,f1_mean,log_loss_mean,brier_mean,fit_seconds
XGBoost,0.9317118464856454,0.026492406452083412,0.7645880029142595,0.6937390478982819,0.2842235555055603,0.09503099046775679,0.2318714141845703
LightGBM,0.9312598254363612,0.021753584767545076,0.7669800463757224,0.6668814111866599,0.2949833100664447,0.09440566442700642,0.7760213851928711
CatBoost,0.9294747134842367,0.023713300672058152,0.7415799936666382,0.6773234258616206,0.3095300630223991,0.10505519308922336,0.22575254440307618
RandomForest,0.9161146907039919,0.0386994853456611,0.7108540860313204,0.6543089897200989,0.290800817380397,0.09903686142075774,0.2239293098449707
LogisticRegression,0.8247040217952634,0.12026880792826052,0.49437699437205795,0.5840365358283545,0.7309447482775464,0.20513484759915643,0.09953517913818359
