iter	Logloss
0	0.6350167145
1	0.5880954924
2	0.5311695911
3	0.4843099945
4	0.4491254184
5	0.4211792662
6	0.4001481544
7	0.3878368065
8	0.3713560507
9	0.3584175095
10	0.3503310637
11	0.3438129607
12	0.3383664818
13	0.3277298875
14	0.3200261161
15	0.3155238155
16	0.3105447869
17	0.3053583778
18	0.2999958219
19	0.2961553863
20	0.2920209759
21	0.2897855021
22	0.2866939457
23	0.2833435176
24	0.2799770181
25	0.2778690522
26	0.2755473753
27	0.2728583831
28	0.271380605
29	0.2685877362
30	0.266910719
31	0.2652596576
32	0.2637445739
33	0.2622254762
34	0.2604155566
35	0.2590155021
36	0.2574491382
37	0.256040364
38	0.2543627226
39	0.2525080524
40	0.251185271
41	0.2503150643
42	0.2492032804
43	0.2484236178
44	0.2471518036
45	0.2458192277
46	0.2452151889
47	0.2444362654
48	0.2439965532
49	0.2429404706
50	0.2423242525
51	0.2410392346
52	0.240126723
53	0.2392297687
54	0.2385443528
55	0.237978743
56	0.2371475662
57	0.2366201997
58	0.2360282746
59	0.2355401603
60	0.2351040095
61	0.2345425691
62	0.234052937
63	0.233443387
64	0.2329733294
65	0.231852217
66	0.2310799729
67	0.2306913677
68	0.230330317
69	0.2298828735
70	0.2294170686
71	0.2281333449
72	0.2276356948
73	0.2272202203
74	0.2266103649
75	0.22621983
76	0.2257721317
77	0.2252845343
78	0.2247536214
79	0.2241349661
80	0.2235093039
81	0.2229004017
82	0.2223615339
83	0.221072007
84	0.2208151681
85	0.2203017447
86	0.2199616498
87	0.2195836611
88	0.219144663
89	0.2183721608
90	0.2180232047
91	0.2176517604
92	0.2170053513
93	0.2163986874
94	0.2157455398
95	0.2154398239
96	0.213927871
97	0.213506487
98	0.2130768245
99	0.2125766096
100	0.212196114
101	0.2116536455
102	0.211311127
103	0.2109166515
104	0.2105877661
105	0.2101889704
106	0.2097679287
107	0.209214499
108	0.2083553979
109	0.2077661982
110	0.2071702176
111	0.2069113269
112	0.2064432133
113	0.206149222
114	0.2057115747
115	0.2053723592
116	0.2050623929
117	0.2048758494
118	0.2044884007
119	0.2040381368
120	0.2038346636
121	0.2034860331
122	0.2030854192
123	0.2026287948
124	0.2023623588
125	0.2019300164
126	0.2017293304
127	0.2014674801
128	0.2008697824
129	0.2005398603
130	0.2000973074
131	0.1996389391
132	0.1992627945
133	0.1990414003
134	0.1985541339
135	0.1978551108
136	0.1974771117
137	0.1971173865
138	0.196746682
139	0.1964654108
140	0.1960954671
141	0.1959067602
142	0.195395032
143	0.1950937763
144	0.1946002838
145	0.1941605296
146	0.1940143978
147	0.1938734395
148	0.1934220136
149	0.1931791281
150	0.1929156802
151	0.192758687
152	0.1924523654
153	0.1922190661
154	0.1918480949
155	0.1911017595
156	0.1909550056
157	0.1908075028
158	0.1904237717
159	0.1902131141
160	0.1899910785
161	0.1897274232
162	0.1893703257
163	0.1890993595
164	0.1888039888
165	0.1883439164
166	0.1879783229
167	0.1876006689
168	0.1872192303
169	0.1870309175
170	0.1868467126
171	0.1866799752
172	0.1864815126
173	0.1859770128
174	0.1856361719
175	0.1853989677
176	0.1851666376
177	0.1848321488
178	0.1845845644
179	0.1843473573
180	0.1840406177
181	0.1833423525
182	0.1832060279
183	0.1829577353
184	0.1826212907
185	0.1823550555
186	0.1815815393
187	0.1812716817
188	0.1808381807
189	0.1805489818
190	0.1798435098
191	0.1795710969
192	0.1793067667
193	0.1789988008
194	0.1787445398
195	0.178482989
196	0.178190157
197	0.1778124434
198	0.1774282728
199	0.177128191
